chemsys,metal_1,metal_2,ligand,source,n_points,dip_method,dip_cell_length,E_min,E_expected,delta_E,left_x,right_x,baseline_slope,pair,IE_1,IE_2,IE_avg,IE_diff
Ti-Y-O,Ti,Y,O,Y2Ti3O9_1365383_POSCAR,35,local_max_drop,7.69359705,-0.45683176011043,-0.1713880185759884,-0.2854437415344415,6.632411,12.999526,0.0241504,Ti-Y,658.8,600.0,629.4,58.799999999999955
Ti-Zr-O,Ti,Zr,O,Zr5Ti7O24_761840_POSCAR,35,local_max_drop,21.09376335,-0.48754532754388,-0.2200344037362085,-0.2675109238076715,19.639021,35.641186,0.01169667,Ti-Zr,658.8,640.1,649.45,18.699999999999932
V-Y-O,V,Y,O,Y2V3O9_1331382_POSCAR,35,local_max_drop,7.66319345,-0.43166497315599,-0.1645076516308718,-0.2671573215251182,6.606201,12.948154,0.0232112,V-Y,650.9,600.0,625.45,50.89999999999998
V-Zr-O,V,Zr,O,Zr3V3O_504834_POSCAR,35,local_max_drop,10.6734252218,-0.74681834312712,-0.1856976219229985,-0.5611207212041216,9.14865,18.678494,0.01703771,V-Zr,650.9,640.1,645.5,10.799999999999955
V-Zr-O,V,Zr,O,Zr9V9O2_1217608_POSCAR,35,local_max_drop,12.3136584917,-2.2278011952063,-0.5452607592603581,-1.682540435945942,10.554564,21.548902,0.04349974,V-Zr,650.9,640.1,645.5,10.799999999999955
V-Zr-S,V,Zr,S,Zr9V4S_9483_POSCAR,35,local_max_drop,12.551663971,-0.77827099707844,-0.1977257340418381,-0.5805452630366019,10.387584,21.207984,0.01643121,V-Zr,650.9,640.1,645.5,10.799999999999955
W-Y-O,W,Y,O,Y10W2O21_556220_POSCAR,35,local_max_drop,14.9012724,-1.0446564578558,-0.4243174739071879,-0.6203389839486121,13.304707,26.077227,0.03060603,W-Y,770.0,600.0,685.0,170.0
W-Zr-O,W,Zr,O,Zr9W4O3_1207430_POSCAR,35,local_max_drop,12.286615222,-0.66123193007007,-0.2220232630696216,-0.4392086670004483,10.531384,21.501577,0.01896718,W-Zr,770.0,640.1,705.05,129.89999999999998
W-Zr-S,W,Zr,S,Zr9W4S_1207423_POSCAR,35,local_max_drop,12.285827372,-0.64455066339372,-0.2199403735038775,-0.4246102898898425,10.530709,21.500198,0.01884761,W-Zr,770.0,640.1,705.05,129.89999999999998
Y-Zr-O,Y,Zr,O,Y2Zr24O51_531103_POSCAR,35,local_max_drop,5.28475265,-0.59517393427131,-0.2918600130395788,-0.3033139212317312,4.920287,8.92941,0.06608703,Y-Zr,600.0,640.1,620.05,40.10000000000002
Y-Zr-O,Y,Zr,O,Y2Zr9O22_675231_POSCAR,35,local_max_drop,5.3378879,-0.52759204701142,-0.2319571266783786,-0.2956349203330414,4.601628,9.01919,0.05119775,Y-Zr,600.0,640.1,620.05,40.10000000000002
Y-Zr-O,Y,Zr,O,Y6Zr22O53_1100946_POSCAR,35,local_max_drop,4.6345943436,-0.64855302670188,-0.2887752565153854,-0.3597777701864945,3.99534,7.830866,0.0737636,Y-Zr,600.0,640.1,620.05,40.10000000000002
Y-Zr-O,Y,Zr,O,Y6Zr22O53_530787_POSCAR,35,local_max_drop,5.25978655,-0.64005800335828,-0.280735005125233,-0.359322998233047,4.534299,8.887226,0.06258455,Y-Zr,600.0,640.1,620.05,40.10000000000002
