pair,ligand,n,best_delta_E,mean_delta_E,median_delta_E,std_delta_E
Co-V,O,7,-0.2042722904694919,-0.06749240183976064,-0.0594651812804498,0.06740291012552152
Ti-Zn,O,22,-0.1987429886151508,-0.10914949267734353,-0.11761779184749846,0.054281743896017524
Mn-Zn,O,43,-0.1972240113583781,-0.08087379607466018,-0.0689732219212189,0.050064776473908106
Cd-Fe,O,6,-0.1911398676819544,-0.06224324271104734,-0.04495294507465535,0.07156956093722229
Cu-Sc,O,4,-0.1893309551099402,-0.1319340740577495,-0.13625991746004415,0.05672806494119445
Sc-Y,O,3,-0.1839347690304086,-0.1263825092426817,-0.1377599495350541,0.06400395420367765
Nb-Pt,O,1,-0.1823870029823268,-0.1823870029823268,-0.1823870029823268,
Nb-Zr,O,2,-0.1808817697430366,-0.09564227158795495,-0.09564227158795495,0.12054685434079289
Rh-Sc,O,2,-0.1775776729703876,-0.14112154757053613,-0.14112154757053613,0.0515567469720442
Mn-Zr,O,1,-0.1760414275559718,-0.1760414275559718,-0.1760414275559718,
Fe-Zr,O,1,-0.1684929698614413,-0.1684929698614413,-0.1684929698614413,
Cr-Zn,O,19,-0.1632745574444543,-0.0829473511687915,-0.0908335731564329,0.05181127742335629
Nb-Y,O,3,-0.1604511228418259,-0.1360723245013493,-0.1259761383902216,0.021216170656012584
Nb-Ti,O,11,-0.1565836141755127,-0.09301856315842844,-0.0858401649372925,0.03485350379466889
Co-Mn,O,29,-0.1565396751827254,-0.05197678165073134,-0.038358346571456,0.04062494013393792
Nb-Re,O,1,-0.1528978350759064,-0.1528978350759064,-0.1528978350759064,
Co-Y,O,8,-0.1514307924963885,-0.11010915977059757,-0.11786826619763925,0.026158191900007427
Hf-Y,O,7,-0.1503718604365533,-0.11700274027551034,-0.1440403583757137,0.036266149573748886
Mn-Sc,O,6,-0.1483679511849748,-0.09038913211456334,-0.10303285362153135,0.0546973822683819
